id,station,year,wood,hsba,hstot,hspayn,hspa,cancov,moisture,decrate,bg,lap,per,po,ap,insect
99,19,one,oak,4.79472801,6,yes,1,66.61954545,0.394815737,0.012738466,105.2055993,0.951432017,1.296012686,9.468007444,444.2997214,NA
100,20,one,oak,2.247093156,4,yes,1,61.34227273,0.335707825,0,139.5133068,1.694990541,0,15.11005533,697.6538422,NA
101,21,one,oak,1.190771264,6,yes,1,66.48727273,0.214893865,0,65.3019431,0.172397663,0,6.898951997,597.3640672,NA
102,22,one,oak,2.879873388,11,yes,1,68.28136364,0.31661195,0.04587205,494.4765895,3.550463297,0,6.702424625,409.0479374,NA
103,23,one,oak,7.153976696,9,yes,1,69.37681818,0.274326051,0,75.03760206,0.494014187,2.62167272,1.640860367,234.4299011,NA
104,24,one,oak,8.831770859,5,yes,1,68.95727273,0.352639916,0,95.36599341,0.69031246,0,1.473507824,421.751018,NA
105,25,one,oak,1.116145118,8,yes,1,65.09363636,0.438299378,0.024046418,169.6942163,0.350319011,1.520485471,0.990243794,443.7550902,NA
106,26,one,oak,1.403387029,4,yes,1,64.83636364,0.328385155,0,140.8251756,0.611169138,0,3.47592128,614.2382284,NA
107,27,one,oak,1.132637046,10,yes,1,65.72090909,0.41948366,0.076926709,233.8871403,1.696106351,1.908018676,1.274832612,312.8856999,NA
108,28,one,oak,0.559981297,5,yes,1,65.6335,0.384098309,0,63.21321759,0.024308586,2.155785807,0.989796327,152.6041905,NA
109,29,one,oak,0.235277756,3,yes,1,67.52318182,0.276205422,0,31.94764081,0.138897447,0,0.514139232,367.1089961,NA
110,30,one,oak,0.69888776,3,yes,1,68.06,0.323575395,0,75.59476779,0.475158048,0.823772769,0.21657388,174.3570971,NA
111,31,one,oak,1.576945823,3,yes,1,67.54,0.248963177,0,104.8234438,0.303187773,1.173187954,1.811792645,450.4644459,NA
112,32,one,oak,0.367442406,1,yes,1,67.99409091,0.25572133,0,227.2638251,0.215605564,2.856733845,1.811345178,371.4784281,NA
113,33,one,oak,6.032632071,4,yes,1,64.99727273,0.315283318,0,105.5437613,0.441557558,0,0.678806975,328.9804891,NA
114,34,one,oak,1.710999126,3,yes,1,68.22636364,0.209025002,0,164.2493583,NA,1.736487585,NA,660.1154163,NA
115,35,one,oak,7.061308392,4,yes,1,67.13545455,0.557494052,0.180189774,621.510763,4.436069107,2.668261412,4.806836384,134.2334147,NA
